participant,condition,domain,trial,scenario_id,heuristic_type,anchor_value,adjustment,recall_ease,representativeness,base_rate,base_rate_use,recognition_strength,fluency,affective_valence,cue_validity,cue_count,information_cost,time_pressure,cognitive_load,strategy_complexity,subjective_effort,judged_probability,true_probability,estimate,true_value,choice_binary,correct,rt_ms,confidence,calibration_error,bias_magnitude,adaptive_fit
P001,anchoring,general,1,H001,anchoring,70,-12,4.2,5.1,0.40,0.40,5.0,5.8,0.5,0.62,2,4.0,6.8,5.8,2.4,4.8,0.58,0.46,58,49,1,1,1640,6.2,0.12,9,0.04
P001,control,general,2,H002,analytic,50,2,4.8,4.8,0.40,0.72,5.0,5.2,0.0,0.62,5,3.0,3.8,4.2,6.8,6.4,0.45,0.46,52,49,0,1,2580,6.8,0.01,3,0.02
P002,availability,risk,1,H003,availability,50,5,8.6,5.4,0.18,0.35,5.2,6.6,-2.2,0.58,2,3.6,6.2,6.6,2.8,5.0,0.42,0.18,68,44,1,0,1760,7.0,0.24,24,-0.10
P002,analytic,risk,2,H004,analytic,50,-1,4.4,5.0,0.18,0.78,5.2,5.0,-0.8,0.58,7,4.8,2.8,4.6,7.4,7.2,0.21,0.18,47,44,0,1,3140,6.8,0.03,3,0.02
P003,representativeness,medical,1,H005,representativeness,50,4,5.2,8.8,0.12,0.22,5.8,6.2,-0.2,0.64,3,4.2,5.4,5.8,3.2,5.6,0.54,0.12,72,38,1,0,1980,7.4,0.42,34,-0.18
P003,analytic,medical,2,H006,analytic,50,0,5.0,6.2,0.12,0.82,5.6,5.0,-0.1,0.64,8,5.2,2.6,4.8,7.6,7.4,0.16,0.12,42,38,0,1,3380,7.0,0.04,4,0.06
P004,recognition,finance,1,H007,recognition,50,3,5.2,5.8,0.50,0.42,8.4,7.0,1.4,0.72,1,2.8,7.0,5.8,1.8,4.2,0.61,0.58,64,61,1,1,1420,7.8,0.03,3,0.08
P004,tallying,finance,2,H008,tallying,50,0,5.2,5.4,0.50,0.55,6.4,5.4,0.6,0.62,5,4.0,4.2,5.0,4.2,5.4,0.56,0.58,59,61,1,1,2360,6.8,0.02,2,0.02
P005,fluency,technology,1,H009,fluency,50,4,5.8,5.2,0.36,0.34,6.8,8.8,1.0,0.54,2,3.0,6.4,5.8,2.2,4.6,0.52,0.36,62,50,1,0,1520,7.2,0.16,12,-0.06
P005,take_the_best,technology,2,H010,take_the_best,50,1,5.2,5.0,0.36,0.52,6.0,6.0,0.4,0.78,2,3.2,5.0,5.0,2.6,4.8,0.46,0.36,55,50,1,1,1780,6.6,0.10,5,0.06
