participant,condition,domain,trial,item_id,memory_system,study_type,encoding_depth,retrieval_practice,spacing_interval,delay,retention_strength,cue_quality,interference,consolidation_support,source_context,misinformation_exposure,old_item,response_old,source_correct,correct,recall_accuracy,recognition_confidence,retrieval_fluency,response_time_ms,learning_transfer,forgetting_rate
P001,deep_encoding,verbal,1,M001,explicit,elaboration,8.2,0,0,1,0.82,7.4,2.2,5.0,6.8,0,1,1,1,1,0.86,0.82,7.6,920,0.72,0.08
P001,shallow_encoding,verbal,2,M002,explicit,restudy,3.1,0,0,1,0.54,4.2,2.4,5.0,4.0,0,1,1,0,1,0.58,0.66,5.0,1180,0.42,0.15
P002,retrieval_practice,educational,1,M003,semantic,retrieval_practice,7.0,1,2,7,0.74,6.8,3.0,6.0,5.8,0,1,1,1,1,0.80,0.78,7.0,1040,0.76,0.07
P002,restudy,educational,2,M004,semantic,restudy,6.4,0,0,7,0.52,5.8,3.2,5.5,5.0,0,1,1,0,1,0.56,0.70,5.4,1260,0.58,0.14
P003,spaced,educational,1,M005,semantic,spaced,6.8,1,4,14,0.68,6.5,3.6,6.2,5.4,0,1,1,1,1,0.72,0.76,6.4,1140,0.70,0.06
P003,massed,educational,2,M006,semantic,massed,6.8,0,0.2,14,0.44,5.4,3.8,5.6,4.8,0,1,0,0,0,0.40,0.54,4.0,1560,0.46,0.16
P004,misinformation,legal,1,M007,episodic,misinformation,6.2,0,0,3,0.48,4.8,5.8,4.0,3.2,1,0,1,0,0,0.22,0.74,6.0,1820,0.30,0.18
P004,control,legal,2,M008,episodic,restudy,6.2,0,0,3,0.60,5.6,3.2,4.0,5.8,0,0,0,1,1,0.64,0.62,5.2,1340,0.48,0.12
P005,source_monitoring,episodic,1,M009,source,elaboration,7.0,0,1,5,0.62,6.2,4.0,5.0,7.6,0,1,1,1,1,0.66,0.76,6.2,1280,0.54,0.10
P005,ai_supported,ai,2,M010,semantic,ai_supported,6.6,1,2,5,0.70,7.8,2.8,5.5,4.2,0,1,1,0,1,0.72,0.80,7.4,980,0.78,0.08
