participant,unit,condition,trial,info_load,attention_score,uncertainty_level,coordination_load,institutional_pressure,feedback_delay,psychological_safety,dissent_present,automation_reliance,decision_quality,chose_satisficing,response_time_ms
P001,Strategy,baseline,1,3.2,7.4,3.8,4.1,3.0,2.0,7.2,1,2.5,78.4,0,2420
P001,Strategy,overload,2,8.4,5.1,7.2,6.8,5.5,6.0,5.1,0,5.8,58.9,1,4140
P002,Operations,dashboard_support,1,5.8,6.8,5.2,5.9,4.0,3.8,6.5,1,7.2,71.6,0,2980
P002,Operations,deliberative_review,2,4.4,7.9,4.8,6.2,3.6,4.0,8.0,1,3.4,82.7,0,3520
P003,Compliance,baseline,1,4.0,6.9,5.0,4.8,6.4,5.5,6.1,0,4.0,67.8,1,3100
P003,Compliance,overload,2,9.0,4.8,8.1,7.4,8.0,7.5,4.4,0,6.6,49.2,1,4860
P004,Product,dashboard_support,1,6.2,6.0,5.8,5.2,5.1,4.8,6.0,1,8.4,68.5,0,2760
P004,Product,deliberative_review,2,4.6,8.2,4.3,5.7,3.8,3.4,8.5,1,3.2,85.1,0,3320
P005,Finance,baseline,1,4.8,6.4,5.5,5.0,6.8,4.7,5.7,0,4.5,63.2,1,3210
P005,Finance,overload,2,8.6,4.5,7.8,7.2,8.2,7.8,4.1,0,7.4,46.8,1,5010
P006,Research,dashboard_support,1,5.1,7.0,5.0,4.9,4.1,3.0,7.1,1,6.5,75.4,0,2890
P006,Research,deliberative_review,2,3.8,8.7,4.2,5.1,3.3,2.8,8.8,1,2.8,88.6,0,3640
