participant,condition,domain,trial,scenario_id,model_completeness,model_coherence,causal_link_accuracy,feedback_loop_recognition,boundary_accuracy,structural_similarity,prediction_error,system_understanding_score,problem_success,intervention_choice_accuracy,model_revision_score,transfer_score,reasoning_time_ms,confidence,cognitive_load,explanation_quality
P001,control,mechanical,1,MM001,4.8,5.0,4.6,2.8,4.5,5.2,18.4,48.0,0,0,3.5,42.0,2840,6.4,7.2,4.6
P001,feedback,mechanical,2,MM002,5.8,6.0,5.6,3.8,5.4,5.6,13.2,58.5,1,1,6.4,55.0,3120,6.8,6.6,5.8
P002,model_training,ecological,1,MM003,7.4,7.2,7.0,6.8,6.9,7.0,8.6,74.2,1,1,7.2,71.0,2480,7.5,5.4,7.0
P002,complex_system,ecological,2,MM004,6.8,6.4,6.2,7.4,6.0,6.8,11.0,68.0,1,1,6.8,67.5,3360,7.1,6.8,6.5
P003,hci_task,interface,1,MM005,5.2,5.0,4.8,3.0,5.6,6.2,16.8,51.2,0,0,4.0,49.0,2210,7.8,6.0,5.2
P003,diagram_prompt,interface,2,MM006,6.6,6.4,6.2,4.6,6.8,7.0,10.5,65.8,1,1,6.2,64.0,2620,7.0,5.8,6.6
P004,expert_comparison,clinical,1,MM007,8.4,8.0,8.2,6.8,7.8,7.4,5.4,82.0,1,1,8.0,80.0,1980,8.2,4.4,8.2
P004,ai_assisted,clinical,2,MM008,7.8,7.4,7.2,6.2,7.0,7.2,7.2,76.0,1,1,7.4,74.0,1740,8.8,4.8,7.4
P005,complex_system,economic,1,MM009,5.6,5.4,5.0,6.4,5.0,6.2,15.6,57.0,0,0,5.2,54.0,3680,6.9,7.8,5.6
P005,feedback,economic,2,MM010,6.4,6.2,6.0,6.8,5.8,6.6,10.2,65.0,1,1,6.8,63.0,3340,7.2,6.8,6.2
