participant,condition,trial,stimulus_id,category_label,prototype_distance,nearest_competing_distance,exemplar_similarity,feature_diagnosticity,feature_overlap,boundary_ambiguity,rule_consistency,feedback_available,category_accuracy,generalization_score,discrimination_score,abstraction_quality,conceptual_flexibility,confidence,response_time_ms
P001,control,1,S001,Category_A,2.1,6.4,7.8,6.9,7.2,2.0,6.8,0,1,76.0,80.0,6.8,6.2,7.2,1420
P001,boundary_ambiguity,2,S002,Category_B,5.4,5.8,5.2,4.8,5.0,8.2,4.9,0,0,48.0,52.0,4.1,4.6,4.8,2380
P002,prototype_training,1,S003,Category_A,1.6,7.0,7.4,7.8,7.5,1.5,7.6,1,1,86.0,83.0,8.1,7.0,8.0,1180
P002,exemplar_training,2,S004,Category_C,3.5,6.2,8.6,6.4,7.0,3.2,6.0,1,1,82.0,76.0,7.2,6.8,7.4,1510
P003,rule_training,1,S005,Category_B,3.0,6.7,6.0,8.4,6.1,2.7,8.8,1,1,84.0,85.0,7.8,7.1,7.9,1320
P003,conceptual_shift,2,S006,Category_C,4.6,5.2,5.8,5.5,5.6,6.8,5.0,1,1,71.0,69.0,6.7,8.2,6.8,1960
P004,feedback_learning,1,S007,Category_A,2.8,6.0,6.6,7.0,6.5,3.4,6.8,1,1,79.0,78.0,7.0,7.5,7.6,1490
P004,boundary_ambiguity,2,S008,Category_B,5.8,5.7,5.0,4.2,4.8,8.8,4.5,0,0,44.0,50.0,3.9,4.8,4.2,2520
P005,exemplar_training,1,S009,Category_C,3.2,6.6,8.3,6.8,7.1,3.0,6.2,1,1,81.0,77.0,7.4,6.9,7.8,1470
P005,control,2,S010,Category_A,3.9,5.4,5.8,5.5,5.4,5.0,5.2,0,1,66.0,64.0,5.6,5.7,6.2,1780
