participant,condition,trial,choice_domain,gain_loss_frame,reference_point,outcome_amount,probability,delay_days,cognitive_load,attention_score,default_present,social_norm_strength,loss_aversion_lambda,risky_choice,default_accepted,willingness_to_pay,decision_time_ms
P001,control,1,savings,neutral,0,100,0.70,30,3.2,7.8,0,2.0,2.10,0,0,42.0,2460
P001,loss_frame,2,health,loss,100,-50,0.60,0,5.8,6.5,0,3.2,2.35,1,0,58.0,3420
P002,gain_frame,1,environment,gain,0,75,0.80,14,3.8,7.2,0,3.5,1.95,0,0,38.5,2690
P002,default_nudge,2,savings,gain,0,150,0.90,90,4.2,7.0,1,4.1,2.20,0,1,65.0,2210
P003,social_norm,1,consumer,neutral,50,20,0.50,0,4.6,6.8,0,8.0,2.05,1,0,22.0,3180
P003,high_load,2,risk,loss,100,-80,0.40,0,8.2,4.9,0,2.8,2.60,1,0,76.0,4970
P004,default_nudge,1,health,gain,0,60,0.85,0,3.9,7.6,1,5.2,1.85,0,1,45.0,2050
P004,loss_frame,2,environment,loss,100,-40,0.65,7,5.5,6.2,0,4.0,2.45,1,0,52.0,3610
P005,gain_frame,1,time,gain,0,120,1.00,60,4.1,7.1,0,2.5,2.00,0,0,49.0,2840
P005,high_load,2,consumer,neutral,50,30,0.55,0,7.7,5.1,1,6.1,2.30,1,1,31.5,4380
