column,type,description,expected_range
participant,string,Unique participant identifier,non-empty
condition,string,Experimental condition,control|framing|anchoring|confirmation|overconfidence|base_rate|prospect|debiasing|ai_assisted
domain,string,Decision domain,general|risk|health|finance|legal|medical|policy|technology|ai
trial,integer,Trial number within participant,1+
scenario_id,string,Scenario or item identifier,non-empty
bias_type,string,Dominant bias type,framing|anchoring|confirmation|overconfidence|hindsight|base_rate_neglect|availability|loss_aversion|status_quo|automation
frame,string,Decision frame,gain|loss|neutral|survival|mortality|success|failure
gain_loss,string,Prospect domain,gain|loss|mixed|neutral
anchor_value,numeric,Initial value or anchor,0-100
base_rate,numeric,Base-rate probability,0-1
representativeness,numeric,Similarity to prototype or case,0-10
evidence_valence,numeric,Negative to positive evidence valence,-5-5
confirmation_congruence,numeric,How much evidence confirms prior belief,0-1
prior_belief,numeric,Prior belief strength,0-1
confidence_rating,numeric,Subjective confidence,0-1
actual_accuracy,numeric,Observed accuracy or correctness probability,0-1
calibration_error,numeric,Absolute confidence-accuracy difference,0-1
overconfidence,numeric,Confidence minus accuracy,-1-1
probability,numeric,Objective probability,0-1
payoff,numeric,Outcome payoff,-1000-1000
loss_aversion_lambda,numeric,Loss-aversion parameter,0+
probability_weight,numeric,Subjective probability weight,0-1
subjective_value,numeric,Prospect-theory subjective value,unbounded
chose_risky,integer,Whether risky option was chosen,0|1
choice_binary,integer,Binary decision outcome,0|1
correct,integer,Whether decision was correct,0|1
response_time_ms,numeric,Response time in milliseconds,150+
cognitive_load,numeric,Cognitive load,0-10
time_pressure,numeric,Time pressure,0-10
debiasing_condition,string,Intervention condition,none|checklist|base_rate_prompt|consider_opposite|feedback|premortem|statistical_training|independent_review
decision_quality,numeric,Criterion-based decision quality,0-1
institutional_review_flag,integer,Whether decision should receive review,0|1
