participant,condition,domain,trial,scenario_id,option_count,frame,gain_loss,probability,payoff,reference_point,expected_value,expected_utility,loss_aversion_lambda,probability_weight,subjective_value,evidence_strength,drift_rate_proxy,decision_threshold,choice_risky,choice_option,optimal_choice,accuracy,confidence,affective_valence,cognitive_load,time_pressure,uncertainty,response_time_ms,feedback_valence,regret,decision_quality,ai_recommendation,ai_agreement,verification_burden
P001,gain_frame,health,1,D001,2,survival,gain,0.72,240,0,172.8,119.4,2.10,0.75,94.2,1.8,0.42,1.20,0,A,1,0.82,0.76,2.0,4.2,4.8,3.6,1840,2.4,1.8,0.82,0,0,0.0
P001,loss_frame,health,2,D002,2,mortality,loss,0.72,-240,0,-172.8,-252.1,2.10,0.75,-285.6,-1.6,-0.35,1.25,1,B,0,0.58,0.68,-2.2,4.8,5.6,4.2,2060,-2.8,4.6,0.54,0,0,0.0
P002,time_pressure,finance,1,D003,3,neutral,mixed,0.45,500,0,225.0,168.3,2.35,0.50,103.7,0.8,0.28,0.90,1,B,1,0.70,0.66,0.4,5.6,8.2,5.0,1220,1.2,3.2,0.66,0,0,0.0
P002,control,finance,2,D004,3,neutral,mixed,0.45,500,0,225.0,168.3,2.35,0.50,103.7,1.4,0.38,1.40,1,B,1,0.78,0.74,0.6,3.8,4.0,4.4,2740,1.6,2.2,0.78,0,0,0.0
P003,high_load,medical,1,D005,4,neutral,mixed,0.38,350,0,133.0,101.2,2.20,0.43,60.4,-0.4,0.12,1.10,0,A,0,0.54,0.62,-0.6,8.0,6.0,6.8,2360,-1.8,5.4,0.46,0,0,0.0
P003,low_load,medical,2,D006,4,neutral,mixed,0.38,350,0,133.0,101.2,2.20,0.43,60.4,1.2,0.36,1.35,1,B,1,0.76,0.72,0.2,3.2,4.6,4.8,2460,2.0,2.4,0.76,0,0,0.0
P004,affect_cue,risk,1,D007,2,success,gain,0.22,900,0,198.0,141.6,2.50,0.29,106.5,0.6,0.24,1.00,1,B,0,0.60,0.82,3.8,5.0,5.8,7.0,1760,-0.8,4.2,0.52,0,0,0.0
P004,control,risk,2,D008,2,neutral,gain,0.22,900,0,198.0,141.6,2.50,0.29,106.5,0.8,0.28,1.35,0,A,1,0.72,0.70,0.5,4.2,4.4,6.4,2940,1.4,2.8,0.70,0,0,0.0
P005,ai_assisted,ai,1,D009,5,neutral,mixed,0.64,180,0,115.2,86.0,2.00,0.67,57.5,1.5,0.46,1.05,1,AI_B,1,0.84,0.78,0.8,3.6,4.2,4.0,1980,2.2,1.4,0.82,1,1,3.2
P005,ai_assisted,ai,2,D010,5,neutral,mixed,0.30,650,0,195.0,146.8,2.00,0.36,113.8,-0.6,0.10,1.05,1,AI_C,0,0.56,0.84,1.4,4.0,4.4,6.2,1620,-2.4,5.8,0.48,1,1,7.8
