participant,condition,domain,trial,task_type,modality,load,serial_position,distractor_level,interference,attentional_control,updating_demand,storage_demand,processing_demand,chunking_support,rehearsal_opportunity,cognitive_load,span_score,updating_score,capacity_estimate,overload_probability,dual_task_cost,correct,accuracy,response_time_ms,confidence,learning_support,interface_complexity
P001,control,verbal,1,simple_span,verbal,3,1,1.0,1.2,7.2,1.0,3.0,1.2,4.0,7.5,3.4,5,0.82,4.5,0.12,0.04,1,0.88,920,0.82,3.0,2.2
P001,high_load,verbal,2,simple_span,verbal,7,4,1.4,2.0,7.2,1.4,7.0,2.2,4.0,6.0,6.8,5,0.62,4.5,0.56,0.12,0,0.58,1420,0.62,3.0,2.8
P002,interference,language,1,reading_span,semantic,5,3,6.8,7.2,6.4,3.8,5.0,6.5,5.2,4.2,7.4,4,0.54,4.0,0.70,0.22,0,0.48,2180,0.56,4.0,3.5
P002,chunking,language,2,reading_span,semantic,5,3,2.6,3.0,6.4,3.0,5.0,5.5,8.4,5.0,5.8,5,0.72,4.2,0.38,0.10,1,0.76,1780,0.72,7.5,3.0
P003,dual_task,math,1,operation_span,verbal,4,2,5.0,5.8,5.8,4.2,4.0,8.0,4.5,3.6,7.8,4,0.48,3.8,0.66,0.28,0,0.44,2460,0.52,4.0,4.4
P003,instructional_support,math,2,operation_span,verbal,4,2,2.2,2.8,5.8,3.6,4.0,5.6,7.8,5.0,5.5,5,0.70,4.2,0.32,0.11,1,0.78,1880,0.76,8.0,3.0
P004,rehearsal_blocked,auditory,1,serial_recall,auditory,6,5,4.8,5.0,6.0,2.2,6.0,4.8,3.0,1.2,7.0,4,0.50,3.8,0.68,0.24,0,0.42,2020,0.48,2.5,3.2
P004,control,auditory,2,serial_recall,auditory,6,5,2.0,2.8,6.0,2.0,6.0,3.0,3.2,6.6,5.8,5,0.64,4.0,0.44,0.10,1,0.66,1680,0.66,3.5,2.4
P005,ai_supported,interface,1,n_back,multimodal,4,2,3.0,3.5,6.8,7.0,4.0,5.5,6.0,4.4,5.7,5,0.74,4.5,0.34,0.12,1,0.80,1540,0.78,6.0,5.5
P005,high_load,interface,2,n_back,multimodal,8,4,4.2,5.4,6.8,8.4,8.0,7.0,4.0,3.0,8.2,5,0.48,4.5,0.78,0.30,0,0.40,2360,0.50,3.0,7.5
