participant,interface_condition,task_id,trial,task_difficulty,perceptual_load,attentional_demand,working_memory_load,cognitive_load,alignment_score,trust_score,automation_reliance,accessibility_friction,success,response_time_ms,error_count,warning_detected
P001,baseline,T01,1,4.0,4.2,4.5,4.1,4.6,6.7,6.2,3.5,2.0,1,2840,1,1
P001,cluttered,T02,2,6.0,8.1,7.6,6.4,8.0,4.8,4.9,4.0,4.1,0,5120,4,0
P002,guided,T01,1,4.0,3.2,3.5,3.8,3.6,8.1,7.4,3.8,1.5,1,2360,0,1
P002,adaptive,T03,2,7.0,4.5,4.8,6.2,5.5,7.2,7.9,7.4,2.2,1,3920,1,1
P003,accessible,T02,1,6.0,3.7,3.9,5.1,4.4,8.4,7.8,3.2,1.0,1,3410,0,1
P003,ai_assisted,T03,2,7.0,4.2,5.0,5.8,5.1,7.5,8.2,8.0,1.9,1,3180,1,1
P004,cluttered,T01,1,4.0,7.8,7.1,5.4,7.4,4.5,5.0,4.5,4.8,0,4980,3,0
P004,guided,T02,2,6.0,3.8,4.1,5.2,4.7,7.9,7.0,4.0,1.8,1,3560,1,1
P005,adaptive,T01,1,4.0,3.5,3.7,3.5,3.9,8.0,8.1,7.6,1.4,1,2240,0,1
P005,baseline,T03,2,7.0,5.4,5.8,6.2,6.3,6.1,6.0,3.8,2.6,1,4260,2,1
