participant,condition,domain,trial,block,stimulus_id,cue_validity,task_type,target_present,response_yes,correct,rt,salience,goal_relevance,distractor_load,perceptual_load,executive_load,task_switch,conflict,vigilance_state,lapse_probability,confidence,interface_salience,notification_load,divided_attention_cost
P001,valid_cue,visual,1,1,A001,valid,cueing,1,1,1,520,6.2,8.0,2.0,3.0,2.0,0,1.4,8.2,0.06,0.86,5.0,1.0,0.03
P001,invalid_cue,visual,2,1,A002,invalid,cueing,1,1,1,710,5.6,7.6,3.0,3.5,3.2,0,2.8,7.6,0.10,0.76,4.6,1.0,0.06
P002,neutral_cue,visual,1,1,A003,neutral,cueing,0,0,1,640,4.8,5.0,2.8,3.0,2.4,0,1.8,7.8,0.08,0.72,4.2,1.2,0.05
P002,distraction,interface,2,2,A004,none,interface,1,0,0,1080,5.0,6.0,7.8,5.4,6.2,1,6.8,5.0,0.34,0.48,5.2,8.0,0.28
P003,vigilance,safety,1,5,A005,none,cpt,1,1,1,860,5.4,7.0,3.0,4.0,5.0,0,2.5,5.4,0.24,0.66,4.0,2.0,0.10
P003,vigilance,safety,2,8,A006,none,cpt,1,0,0,1320,4.8,6.6,4.2,4.2,5.8,0,3.6,3.8,0.46,0.44,4.0,2.6,0.16
P004,dual_task,education,1,3,A007,none,dual_task,1,1,1,940,5.6,7.4,5.6,5.0,7.2,1,4.8,6.0,0.24,0.62,4.2,4.0,0.30
P004,high_load,medical,2,4,A008,none,visual_search,0,1,0,1480,4.8,6.8,8.0,8.2,6.4,0,5.2,5.2,0.32,0.52,4.6,3.0,0.18
P005,interface_alert,interface,1,2,A009,valid,interface,1,1,1,610,8.2,8.4,3.2,4.4,3.8,0,2.0,7.4,0.09,0.88,8.8,4.0,0.08
P005,low_load,general,2,1,A010,none,visual_search,0,0,1,560,4.2,5.6,1.4,2.0,1.6,0,0.8,8.4,0.04,0.82,3.8,0.8,0.02
