participant,condition,source_id,target_id,trial,source_familiarity,target_novelty,surface_similarity,structural_similarity,relational_complexity,working_memory_load,analogical_cue,mapping_accuracy,transfer_success,inference_quality,schema_abstraction,confidence,response_time_ms
P001,control,S01,T01,1,6.8,5.4,4.1,5.2,4.5,4.0,0,1,1,71.0,5.8,6.9,3280
P001,surface_match,S02,T02,2,7.2,6.1,8.4,3.8,5.6,5.8,0,0,0,38.0,3.1,4.9,4620
P002,structure_match,S01,T03,1,6.4,6.8,3.2,8.1,6.4,5.4,0,1,1,83.0,7.4,7.8,3890
P002,analogical_cue,S03,T04,2,5.9,7.0,4.0,7.8,6.6,5.9,1,1,1,86.0,7.9,8.0,4020
P003,high_complexity,S04,T05,1,6.1,8.2,4.5,7.2,8.8,8.1,0,0,0,49.0,4.8,5.5,6710
P003,schema_training,S02,T03,2,7.5,6.5,4.2,8.5,6.2,5.2,1,1,1,91.0,8.6,8.4,3510
P004,surface_match,S05,T02,1,5.8,6.0,8.6,3.5,5.0,5.4,0,0,0,42.0,3.8,4.7,4880
P004,structure_match,S04,T04,2,6.2,7.6,3.9,8.0,7.1,6.2,0,1,1,80.0,7.1,7.5,4360
P005,analogical_cue,S03,T05,1,6.9,8.0,4.8,7.6,7.8,6.8,1,1,1,78.0,7.5,7.2,5110
P005,control,S01,T02,2,7.1,5.7,5.1,5.0,5.4,5.0,0,1,0,58.0,5.0,6.0,3940
